Player Name,Goals,Assists
Erling Haaland,22,3
Kevin De Bruyne,4,7
Phil Foden,7,2
Jeremy Doku,3,6
Savinho,1,8
Mateo Kovacic,6,2
Bernardo Silva,4,4
Omar Marmoush,7,0
Ilkay Gundogan,1,6
Matheus Nunes,1,6
Josko Gvardiol,5,0
Ederson,0,4
James McAtee,3,0
Rico Lewis,1,2
John Stones,2,0
Nico O'Reilly,2,0
Jack Grealish,1,1
Tijjani Reijnders,1,1
Nico Gonzalez,1,0
Rayan Cherki,1,0
Oscar Bobb,0,1
Ruben Dias,0,0
Nathan Ake,0,0
Manuel Akanji,0,0
Rodri,0,0
Stefan Ortega,0,0
Kalvin Phillips,0,0
Kyle Walker,0,0
Scott Carson,0,0
Marcus Bettinelli,0,0
Gianluigi Donnarumma,0,0
James Trafford,0,0
Abdukodir Khusanov,0,0
Rayan Ait-Nouri,0,0
Vitor Reis,0,0
Joshua Wilson-Esbrand,0,0
Claudio Echeverri,0,0
Jahmai Simpson-Pusey,0,0
Max Alleyne,0,0
Kaden Braithwaite,0,0
Max Hudson,0,0
Spike Brits,0,0
Farid Alfa-Ruprecht,0,0
Divin Mubama,0,0
