Day,Weight_kg
1,5.0
2,5.0
3,5.0
4,5.0
5,5.0
6,5.0
7,5.0
8,7.5
9,7.5
10,7.5
11,7.5
12,7.5
13,7.5
14,7.5
15,7.5
16,10.0
17,10.0
18,10.0
19,10.0
20,10.0
21,10.0
22,10.0
23,10.0
24,10.0
25,10.0
26,12.5
27,12.5
28,12.5
29,12.5
30,12.5
31,12.5
32,12.5
33,12.5
34,12.5
35,12.5
36,12.5
37,12.5
38,12.5
39,15.0
40,15.0
41,15.0
42,15.0
43,15.0
44,15.0
45,15.0
46,15.0
47,15.0
48,15.0
49,15.0
50,15.0
51,17.5
52,17.5
53,17.5
54,17.5
55,17.5
56,17.5
57,17.5
58,17.5
59,17.5
60,17.5
61,17.5
62,17.5
63,17.5
64,17.5
65,17.5
66,20.0
67,20.0
68,20.0
69,20.0
70,20.0
71,20.0
72,20.0
73,20.0
74,20.0
75,20.0
76,20.0
77,20.0
78,20.0
79,20.0
80,20.0
81,22.5
82,22.5
83,22.5
84,22.5
85,22.5
86,22.5
87,22.5
88,22.5
89,22.5
90,22.5
91,22.5
92,22.5
93,22.5
94,22.5
95,22.5
96,22.5
97,22.5
98,22.5
99,22.5
100,22.5
101,25.0
102,25.0
103,25.0
104,25.0
105,25.0
106,25.0
107,25.0
108,25.0
109,25.0
110,25.0
111,25.0
112,25.0
113,25.0
114,25.0
115,25.0
116,25.0
117,25.0
118,25.0
119,25.0
120,25.0
121,25.0
122,25.0
123,25.0
124,25.0
125,25.0
126,27.5
127,27.5
128,27.5
129,27.5
130,27.5
131,27.5
132,27.5
133,27.5
134,27.5
135,27.5
136,27.5
137,27.5
138,27.5
139,27.5
140,27.5
141,27.5
142,27.5
143,27.5
144,27.5
145,27.5
146,27.5
147,27.5
148,27.5
149,27.5
150,27.5
151,27.5
152,27.5
153,27.5
154,27.5
155,27.5
156,30.0
157,30.0
158,30.0
159,30.0
160,30.0
161,30.0
162,30.0
163,30.0
164,30.0
165,30.0
166,30.0
167,30.0
168,30.0
169,30.0
170,30.0
171,30.0
172,30.0
173,30.0
174,30.0
175,30.0
176,30.0
177,30.0
178,30.0
179,30.0
180,30.0
181,30.0
182,30.0
183,30.0
184,30.0
185,30.0
186,30.0
187,30.0
188,30.0
189,30.0
190,30.0
191,32.5
192,32.5
193,32.5
194,32.5
195,32.5
196,32.5
197,32.5
198,32.5
199,32.5
200,32.5
201,32.5
