Rank,Team,games_played,Games Won,Games Drawn,Games Lost,Goal Difference,Points
1,Bayern,3,3,0,0,+12,9
2,Dortmund,3,2,1,0,+5,7
3,Köln,3,2,1,0,+4,7
4,St. Pauli,3,2,1,0,+3,7
5,Frankfurt,3,2,0,1,+3,6
6,Hoffenheim,3,2,0,1,+1,6
7,Leipzig,3,2,0,1,-3,6
8,Wolfsburg,3,1,2,0,+2,5
9,Bremen,3,1,1,1,+1,4
10,Leverkusen,3,1,1,1,+1,4
11,Augsburg,3,1,0,2,0,3
12,Stuttgart,3,1,0,2,-2,3
13,Freiburg,3,1,0,2,-3,3
14,Union Berlin,3,1,0,2,-4,3
15,Mainz 05,3,0,1,2,-2,1
16,M'gladbach,3,0,1,2,-5,1
17,HSV,3,0,1,2,-7,1
18,Heidenheim,3,0,0,3,-6,0
