Rank,Team,games_played,Games Won,Games Drawn,Games Lost,Goal Difference,Points
1,Real Madrid,4,4,0,0,+6,12
2,Barcelona,4,3,1,0,+10,10
3,Espanyol,4,3,1,0,+3,10
4,Athletic Club,4,3,0,1,+2,9
5,Getafe,4,3,0,1,+2,9
6,Villarreal,4,2,1,1,+5,7
7,Alavés,4,2,1,1,+1,7
8,Elche,4,1,3,0,+2,6
9,Osasuna,4,2,0,2,+1,6
10,Real Betis,5,1,3,1,0,6
11,Atl. Madrid,4,1,2,1,+1,5
12,Sevilla,4,1,1,2,0,4
13,Rayo Vallecano,4,1,1,2,-1,4
14,Celta,5,0,4,1,-2,4
15,Valencia,4,1,1,2,-4,4
16,Real Oviedo,4,1,0,3,-6,3
17,Real Sociedad,4,0,2,2,-2,2
18,Levante,4,0,1,3,-4,1
19,Mallorca,4,0,1,3,-5,1
20,Girona,4,0,1,3,-9,1
