Rank,Team,games_played,Games Won,Games Drawn,Games Lost,Goal Difference,Points
1,Napoli,3,3,0,0,+5,9
2,Juventus,3,3,0,0,+4,9
3,Cremonese,3,2,1,0,+2,7
4,Udinese,3,2,1,0,+2,7
5,Milan,3,2,0,1,+2,6
6,Roma,3,2,0,1,+1,6
7,Atalanta,3,1,2,0,+3,5
8,Como,3,1,1,1,+1,4
9,Cagliari,3,1,1,1,+1,4
10,Torino,3,1,1,1,-4,4
11,Inter,3,1,0,2,+3,3
12,Lazio,3,1,0,2,+1,3
13,Bologna,3,1,0,2,-1,3
14,Sassuolo,3,1,0,2,-2,3
15,Genoa,3,0,2,1,-1,2
16,Fiorentina,3,0,2,1,-2,2
17,Verona,3,0,2,1,-4,2
18,Pisa,3,0,1,2,-2,1
19,Parma,3,0,1,2,-4,1
20,Lecce,3,0,1,2,-5,1
